order,name,description,vector,type,units,region,2017,2018,2019,2020,2021,2022,2023
36,"CON(g01,ROW)",household demand for goods,end,z1l,gdp,ROW,1.45666663,1.45051392,1.44370351,1.42473605,1.45053668,1.455115,1.45558652
37,"CON(g02,USA)",household demand for goods,end,z1l,gdp,USA,56.27846123,56.04075042,55.77762982,55.04482002,56.04162978,56.21851358,56.23673093
38,"CON(g02,ROW)",household demand for goods,end,z1l,gdp,ROW,56.27846123,56.04075042,55.77762982,55.04482002,56.04162978,56.21851358,56.23673093
39,CONP(USA),national accounts consumption,end,z1l,gdp,USA,66.41979099,66.1392449,65.8287102,64.96384871,66.14028272,66.34904083,66.37054094
40,CONP(ROW),national accounts consumption,end,z1l,gdp,ROW,66.41979099,66.1392449,65.8287102,64.96384871,66.14028272,66.34904083,66.37054094
41,CURN(USA),domestic currency current account using nominal interest payments,end,z1l,gdp,USA,0,0,0,0,0,0,0
42,CURN(ROW),domestic currency current account using nominal interest payments,end,z1l,gdp,ROW,0,0,0,0,0,0,0
43,CURR(USA),USD current account using real interest payments,end,z1l,gdp,USA,0,0,0,0,0,0,0
44,CURR(ROW),USD current account using real interest payments,end,z1l,gdp,ROW,0,0,0,0,0,0,0
45,DEFI(USA),fiscal deficit (real interest rates),end,z1l,gdp,USA,2.08750582,3.77451477,4.94363423,13.29882473,6.26556176,-4.73502213,3.18116034
46,DEFI(ROW),fiscal deficit (real interest rates),end,z1l,gdp,ROW,2.08750582,3.77451477,4.94363423,13.29882473,6.26556176,-4.73502213,3.18116034
47,DEFN(USA),fiscal deficit (nominal interest rates),end,z1l,gdp,USA,4.44994742,6.15281169,6.68866289,14.96609335,11.79299697,3.65998552,7.50466903
48,DEFN(ROW),fiscal deficit (nominal interest rates),end,z1l,gdp,ROW,4.44994742,6.15281169,6.68866289,14.96609335,11.79299697,3.65998552,7.50466903
49,DEFX(USA),fiscal deficit shocks (real interest rates),exo,exo,gdp,USA,2.08750582,3.77451477,4.94363423,13.29882473,6.26556176,-4.73502213,3.18116034
50,DEFX(ROW),fiscal deficit shocks (real interest rates),exo,exo,gdp,ROW,2.08750582,3.77451477,4.94363423,13.29882473,6.26556176,-4.73502213,3.18116034
51,"EN(a01,g01,USA)",sector demand for energy goods,end,z1l,gdp,USA,2.04647766,2.03794799,2.04704572,2.03966239,2.01107332,2.00143518,2.04568107
52,"EN(a01,g01,ROW)",sector demand for energy goods,end,z1l,gdp,ROW,2.04647766,2.03794799,2.04704572,2.03966239,2.01107332,2.00143518,2.04568107
53,"EN(a02,g01,USA)",sector demand for energy goods,end,z1l,gdp,USA,2.92579148,2.92426049,2.92873545,2.92649024,2.90427616,2.89707901,2.91660945
54,"EN(a02,g01,ROW)",sector demand for energy goods,end,z1l,gdp,ROW,2.92579148,2.92426049,2.92873545,2.92649024,2.90427616,2.89707901,2.91660945
55,"ENT(a01,USA)",sector demand for energy,end,z1l,gdp,USA,2.04647766,2.03794799,2.04704572,2.03966239,2.01107332,2.00143518,2.04568107
56,"ENT(a01,ROW)",sector demand for energy,end,z1l,gdp,ROW,2.04647766,2.03794799,2.04704572,2.03966239,2.01107332,2.00143518,2.04568107
57,"ENT(a02,USA)",sector demand for energy,end,z1l,gdp,USA,2.92579148,2.92426049,2.92873545,2.92649024,2.90427616,2.89707901,2.91660945
58,"ENT(a02,ROW)",sector demand for energy,end,z1l,gdp,ROW,2.92579148,2.92426049,2.92873545,2.92649024,2.90427616,2.89707901,2.91660945
59,EPRC(USA),expected consumer price inflation rate,end,z1l,pct,USA,2.02632822,1.42230376,1.08792523,4.05553839,6.34524464,3.70330545,3.70330545
60,EPRC(ROW),expected consumer price inflation rate,end,z1l,pct,ROW,2.02632822,1.42230376,1.08792523,4.05553839,6.34524464,3.70330545,3.70330545
61,EXCH(USA),exch rate as US$ per unit of region currency,stl,x1l,idx,USA,100,100,100,100,100,100,100
62,EXCH(ROW),exch rate as US$ per unit of region currency,stl,x1l,idx,ROW,100,100,100,100,100,100,100
63,EXCL(USA),exch rate as US$ per unit of region currency - lagged,sta,x1l,idx,USA,100,100,100,100,100,100,100
64,EXCL(ROW),exch rate as US$ per unit of region currency - lagged,sta,x1l,idx,ROW,100,100,100,100,100,100,100
65,EXCR(USA),country risk premium relative to US,exo,exo,pct,USA,0,0,0,0,0,0,0
66,EXCR(ROW),country risk premium relative to US,exo,exo,pct,ROW,0,0,0,0,0,0,0
67,EXCX(USA),exchange rate target percentage change,exo,exo,pct,USA,0,0,0,0,0,0,0
68,EXCX(ROW),exchange rate target percentage change,exo,exo,pct,ROW,0,0,0,0,0,0,0
69,"EXQ(g01,USA)","exports, EXP.xx",end,z1l,gdp,USA,1.10612748,1.12208513,1.07291309,0.95758824,1.05843285,1.12594429,1.02489973
70,"EXQ(g01,ROW)","exports, EXP.xx",end,z1l,gdp,ROW,1.10612748,1.12208513,1.07291309,0.95758824,1.05843285,1.12594429,1.02489973
71,"EXQ(g02,USA)","exports, EXP.xx",end,z1l,gdp,USA,13.54446111,13.73986151,13.13775303,11.72560751,12.9604434,13.78711672,12.5498324
72,"EXQ(g02,ROW)","exports, EXP.xx",end,z1l,gdp,ROW,13.54446111,13.73986151,13.13775303,11.72560751,12.9604434,13.78711672,12.5498324
73,EXQT(USA),value of exports at source,end,z1l,gdp,USA,14.65058859,14.86194664,14.21066613,12.68319575,14.01887626,14.91306101,13.57473213
74,EXQT(ROW),value of exports at source,end,z1l,gdp,ROW,14.65058859,14.86194664,14.21066613,12.68319575,14.01887626,14.91306101,13.57473213
75,EYGR(USA),expected output growth,end,z1l,pct,USA,5.2393396,4.18068784,-0.62567356,10.45075206,9.40405465,6.06787548,6.06787548
76,EYGR(ROW),expected output growth,end,z1l,pct,ROW,5.2393396,4.18068784,-0.62567356,10.45075206,9.40405465,6.06787548,6.06787548
77,"GCE(g01,USA)",government purchases of goods and services,end,z1l,gdp,USA,0,0,0,0,0,0,0
78,"GCE(g01,ROW)",government purchases of goods and services,end,z1l,gdp,ROW,0,0,0,0,0,0,0
79,"GCE(g02,USA)",government purchases of goods and services,end,z1l,gdp,USA,16.97718638,17.04159215,17.26243381,18.26501636,17.25334997,16.70372974,16.60966366
80,"GCE(g02,ROW)",government purchases of goods and services,end,z1l,gdp,ROW,16.97718638,17.04159215,17.26243381,18.26501636,17.25334997,16.70372974,16.60966366
81,GCET(USA),national accounts government spending excluding labor,end,z1l,gdp,USA,16.97718638,17.04159215,17.26243381,18.26501636,17.25334997,16.70372974,16.60966366
82,GCET(ROW),national accounts government spending excluding labor,end,z1l,gdp,ROW,16.97718638,17.04159215,17.26243381,18.26501636,17.25334997,16.70372974,16.60966366
83,GDPN(USA),"GDP, nominal",end,z1l,gdp,USA,84.72688058,86.66788157,88.09829989,89.26898322,93.34498992,100,103.59839646
84,GDPN(ROW),"GDP, nominal",end,z1l,gdp,ROW,84.72688058,86.66788157,88.09829989,89.26898322,93.34498992,100,103.59839646
85,GDPR(USA),"GDP, real",end,z1l,gdp,USA,100,100,100,100,100,100,100
86,GDPR(ROW),"GDP, real",end,z1l,gdp,ROW,100,100,100,100,100,100,100
87,GNEN(USA),"GNE, nominal",end,z1l,gdp,USA,88.94475662,90.7682112,91.9994257,93.0224407,97.05115227,103.73539708,107.31532931
88,GNEN(ROW),"GNE, nominal",end,z1l,gdp,ROW,88.94475662,90.7682112,91.9994257,93.0224407,97.05115227,103.73539708,107.31532931
89,GNER(USA),"GNE, real",end,z1l,gdp,USA,103.63492969,103.69592312,103.59759486,103.57050256,103.78337588,103.73539708,103.53431277
90,GNER(ROW),"GNE, real",end,z1l,gdp,ROW,103.63492969,103.69592312,103.59759486,103.57050256,103.78337588,103.73539708,103.53431277
91,GNPR(USA),gross national product,end,z1l,gdp,USA,98.5625915,98.29279263,98.05017548,97.51824696,97.13708952,97.7628566,97.34857124
92,GNPR(ROW),gross national product,end,z1l,gdp,ROW,98.5625915,98.29279263,98.05017548,97.51824696,97.13708952,97.7628566,97.34857124
93,GOVL(USA),labor used by government,exo,exo,gdp,USA,0,0,0,0,0,0,0
94,GOVL(ROW),labor used by government,exo,exo,gdp,ROW,0,0,0,0,0,0,0
95,GOVS(USA),government spending excluding labor,exo,exo,gdp,USA,16.97718638,17.04159215,17.26243381,18.26501636,17.25334997,16.70372974,16.60966366
96,GOVS(ROW),government spending excluding labor,exo,exo,gdp,ROW,16.97718638,17.04159215,17.26243381,18.26501636,17.25334997,16.70372974,16.60966366
97,GOVT(USA),national accounts government spending including labor,end,z1l,gdp,USA,16.97718638,17.04159215,17.26243381,18.26501636,17.25334997,16.70372974,16.60966366
98,GOVT(ROW),national accounts government spending including labor,end,z1l,gdp,ROW,16.97718638,17.04159215,17.26243381,18.26501636,17.25334997,16.70372974,16.60966366
99,"IIN(g01,USA)",raw capital sector demand for goods,end,z1l,gdp,USA,0,0,0,0,0,0,0
100,"IIN(g01,ROW)",raw capital sector demand for goods,end,z1l,gdp,ROW,0,0,0,0,0,0,0
101,"IIN(g02,USA)",raw capital sector demand for goods,end,z1l,gdp,USA,15.60575755,15.82884188,15.837305,15.73874627,15.71507377,15.92783754,15.84512185
102,"IIN(g02,ROW)",raw capital sector demand for goods,end,z1l,gdp,ROW,15.60575755,15.82884188,15.837305,15.73874627,15.71507377,15.92783754,15.84512185
103,IITE(USA),raw capital sector demand for energy,end,z1l,gdp,USA,0,0,0,0,0,0,0
104,IITE(ROW),raw capital sector demand for energy,end,z1l,gdp,ROW,0,0,0,0,0,0,0
105,IITL(USA),raw capital sector demand for labor,end,z1l,gdp,USA,0.78028788,0.79144209,0.79186525,0.78693731,0.78575369,0.79639188,0.79225609
106,IITL(ROW),raw capital sector demand for labor,end,z1l,gdp,ROW,0.78028788,0.79144209,0.79186525,0.78693731,0.78575369,0.79639188,0.79225609
107,IITO(USA),raw capital sector demand for material,end,z1l,gdp,USA,15.60575755,15.82884188,15.837305,15.73874627,15.71507377,15.92783754,15.84512185
108,IITO(ROW),raw capital sector demand for material,end,z1l,gdp,ROW,15.60575755,15.82884188,15.837305,15.73874627,15.71507377,15.92783754,15.84512185
109,"IMP(g01,USA,USA)","individual imports, IMP.xy",end,z1l,gdp,USA,0,0,0,0,0,0,0
110,"IMP(g01,USA,ROW)","individual imports, IMP.xy",end,z1l,gdp,USA,1.10612748,1.12208513,1.07291309,0.95758824,1.05843285,1.12594429,1.02489973
111,"IMP(g01,ROW,USA)","individual imports, IMP.xy",end,z1l,gdp,ROW,1.10612748,1.12208513,1.07291309,0.95758824,1.05843285,1.12594429,1.02489973
112,"IMP(g01,ROW,ROW)","individual imports, IMP.xy",end,z1l,gdp,ROW,0,0,0,0,0,0,0
113,"IMP(g02,USA,USA)","individual imports, IMP.xy",end,z1l,gdp,USA,0,0,0,0,0,0,0
114,"IMP(g02,USA,ROW)","individual imports, IMP.xy",end,z1l,gdp,USA,13.54446111,13.73986151,13.13775303,11.72560751,12.9604434,13.78711672,12.5498324
115,"IMP(g02,ROW,USA)","individual imports, IMP.xy",end,z1l,gdp,ROW,13.54446111,13.73986151,13.13775303,11.72560751,12.9604434,13.78711672,12.5498324
116,"IMP(g02,ROW,ROW)","individual imports, IMP.xy",end,z1l,gdp,ROW,0,0,0,0,0,0,0
117,"IMPX(g01,USA,USA)",individual imports shift ,exo,exo,gdp,USA,0,0,0,0,0,0,0
118,"IMPX(g01,USA,ROW)",individual imports shift ,exo,exo,gdp,USA,0,0,0,0,0,0,0
119,"IMPX(g01,ROW,USA)",individual imports shift ,exo,exo,gdp,ROW,0,0,0,0,0,0,0
120,"IMPX(g01,ROW,ROW)",individual imports shift ,exo,exo,gdp,ROW,0,0,0,0,0,0,0
121,"IMPX(g02,USA,USA)",individual imports shift ,exo,exo,gdp,USA,0,0,0,0,0,0,0
122,"IMPX(g02,USA,ROW)",individual imports shift ,exo,exo,gdp,USA,0,0,0,0,0,0,0
123,"IMPX(g02,ROW,USA)",individual imports shift ,exo,exo,gdp,ROW,0,0,0,0,0,0,0
124,"IMPX(g02,ROW,ROW)",individual imports shift ,exo,exo,gdp,ROW,0,0,0,0,0,0,0
125,"IMQ(g01,USA)","DF imports by good, IMQ.xx",end,z1l,gdp,USA,1.10612748,1.12208513,1.07291309,0.95758824,1.05843285,1.12594429,1.02489973
126,"IMQ(g01,ROW)","DF imports by good, IMQ.xx",end,z1l,gdp,ROW,1.10612748,1.12208513,1.07291309,0.95758824,1.05843285,1.12594429,1.02489973
127,"IMQ(g02,USA)","DF imports by good, IMQ.xx",end,z1l,gdp,USA,13.54446111,13.73986151,13.13775303,11.72560751,12.9604434,13.78711672,12.5498324
128,"IMQ(g02,ROW)","DF imports by good, IMQ.xx",end,z1l,gdp,ROW,13.54446111,13.73986151,13.13775303,11.72560751,12.9604434,13.78711672,12.5498324
129,IMQT(USA),value of imports at destination,end,z1l,gdp,USA,14.65058859,14.86194664,14.21066613,12.68319575,14.01887626,14.91306101,13.57473213
130,IMQT(ROW),value of imports at destination,end,z1l,gdp,ROW,14.65058859,14.86194664,14.21066613,12.68319575,14.01887626,14.91306101,13.57473213
131,INAS(USA),nominal USD net interest payments on foreign assets,end,z1l,gdp,USA,0,0,0,0,0,0,0
132,INAS(ROW),nominal USD net interest payments on foreign assets,end,z1l,gdp,ROW,0,0,0,0,0,0,0
133,INCM(USA),after tax household income,end,z1l,gdp,USA,66.41979099,66.1392449,65.8287102,64.96384871,66.14028272,66.34904083,66.37054094
134,INCM(ROW),after tax household income,end,z1l,gdp,ROW,66.41979099,66.1392449,65.8287102,64.96384871,66.14028272,66.34904083,66.37054094
135,INFCL(USA),household materials inflation rate,end,z1l,pct,USA,2.26504468,2.26504468,1.63698749,1.320086,4.46481035,6.88679873,3.53516655
136,INFCL(ROW),household materials inflation rate,end,z1l,pct,ROW,2.26504468,2.26504468,1.63698749,1.320086,4.46481035,6.88679873,3.53516655
137,INFL(USA),consumer price inflation,end,z1l,pct,USA,2.02632822,2.02632822,1.42230376,1.08792523,4.05553839,6.34524464,3.70330545
138,INFL(ROW),consumer price inflation,end,z1l,pct,ROW,2.02632822,2.02632822,1.42230376,1.08792523,4.05553839,6.34524464,3.70330545
139,INFP(USA),output price inflation,end,z1l,pct,USA,2.26504468,2.26504468,1.63698749,1.320086,4.46481035,6.88679873,3.53516655
140,INFP(ROW),output price inflation,end,z1l,pct,ROW,2.26504468,2.26504468,1.63698749,1.320086,4.46481035,6.88679873,3.53516655
141,INFX(USA),inflation target,exo,exo,pct,USA,2.5,2.5,2.5,2.5,2.5,2.5,2.5
142,INFX(ROW),inflation target,exo,exo,pct,ROW,2.5,2.5,2.5,2.5,2.5,2.5,2.5
143,"INS(USA,g01)",shocks to aggregate investment demand,exo,exo,gdp,USA,0,0,0,0,0,0,0
144,"INS(USA,g02)",shocks to aggregate investment demand,exo,exo,gdp,USA,0,0,0,0,0,0,0
145,"INS(ROW,g01)",shocks to aggregate investment demand,exo,exo,gdp,ROW,0,0,0,0,0,0,0
146,"INS(ROW,g02)",shocks to aggregate investment demand,exo,exo,gdp,ROW,0,0,0,0,0,0,0
147,INTF(USA),"risk free interest rate, short-run, real",end,z1l,pct,USA,-1.11254468,0.55134584,0.887414,-3.82124538,-6.77263206,-1.30766655,1.64233345
148,INTF(ROW),"risk free interest rate, short-run, real",end,z1l,pct,ROW,-1.11254468,0.55134584,0.887414,-3.82124538,-6.77263206,-1.30766655,1.64233345
149,INTL(USA),"interest rate, short-run, nominal - lagged",sta,x1l,pct,USA,1.1525,1.1525,2.18833333,2.2075,0.64356497,0.11416667,2.2275
150,INTL(ROW),"interest rate, short-run, nominal - lagged",sta,x1l,pct,ROW,1.1525,1.1525,2.18833333,2.2075,0.64356497,0.11416667,2.2275
151,INTN(USA),"interest rate, short (policy), nominal",stl,x1l,pct,USA,1.1525,2.18833333,2.2075,0.64356497,0.11416667,2.2275,5.1775
152,INTN(ROW),"interest rate, short (policy), nominal",stl,x1l,pct,ROW,1.1525,2.18833333,2.2075,0.64356497,0.11416667,2.2275,5.1775
153,INTR(USA),"risk adjusted interest rate, short-run, real",end,z1l,pct,USA,-1.11254468,0.55134584,0.887414,-3.82124538,-6.77263206,-1.30766655,1.64233345
154,INTR(ROW),"risk adjusted interest rate, short-run, real",end,z1l,pct,ROW,-1.11254468,0.55134584,0.887414,-3.82124538,-6.77263206,-1.30766655,1.64233345
155,"INV(a01,USA)",raw investment,end,z1l,gdp,USA,0.72114865,0.7286416,0.73109493,0.72466308,0.71897577,0.72680416,0.73381645
156,"INV(a01,ROW)",raw investment,end,z1l,gdp,ROW,0.72114865,0.7286416,0.73109493,0.72466308,0.71897577,0.72680416,0.73381645
157,"INV(a02,USA)",raw investment,end,z1l,gdp,USA,16.03180321,16.25766402,16.26475761,16.16762207,16.14527618,16.35902565,16.26855639
158,"INV(a02,ROW)",raw investment,end,z1l,gdp,ROW,16.03180321,16.25766402,16.26475761,16.16762207,16.14527618,16.35902565,16.26855639
159,INVP(USA),total investment by standard sectors,end,z1l,gdp,USA,16.75295186,16.98630563,16.99585254,16.89228515,16.86425194,17.08582981,17.00237285
160,INVP(ROW),total investment by standard sectors,end,z1l,gdp,ROW,16.75295186,16.98630563,16.99585254,16.89228515,16.86425194,17.08582981,17.00237285
161,INVT(USA),total investment including by households,end,z1l,gdp,USA,20.23795231,20.51508607,20.50645085,20.34163749,20.38974319,20.6826265,20.55410817
162,INVT(ROW),total investment including by households,end,z1l,gdp,ROW,20.23795231,20.51508607,20.50645085,20.34163749,20.38974319,20.6826265,20.55410817
163,INVY(USA),raw investment of raw capital sector,end,z1l,gdp,USA,0.41338145,0.42542044,0.42518296,0.42033575,0.4223292,0.43479149,0.42726119
164,INVY(ROW),raw investment of raw capital sector,end,z1l,gdp,ROW,0.41338145,0.42542044,0.42518296,0.42033575,0.4223292,0.43479149,0.42726119
165,INVZ(USA),household investment,end,z1l,gdp,USA,3.071619,3.10336,3.08541535,3.02901659,3.10316204,3.16200521,3.12447414
166,INVZ(ROW),household investment,end,z1l,gdp,ROW,3.071619,3.10336,3.08541535,3.02901659,3.10316204,3.16200521,3.12447414
167,IRAS(USA),real USD net interest payments on foreign assets,end,z1l,gdp,USA,0,0,0,0,0,0,0
168,IRAS(ROW),real USD net interest payments on foreign assets,end,z1l,gdp,ROW,0,0,0,0,0,0,0
169,"JNV(a01,USA)",installed investment,end,z1l,gdp,USA,0.64382979,0.64937196,0.65151536,0.64628324,0.64133106,0.64723679,0.65390078
170,"JNV(a01,ROW)",installed investment,end,z1l,gdp,ROW,0.64382979,0.64937196,0.65151536,0.64628324,0.64133106,0.64723679,0.65390078
171,"JNV(a02,USA)",installed investment,end,z1l,gdp,USA,14.31293345,14.48897668,14.49434108,14.4189259,14.40169144,14.56811045,14.49684272
172,"JNV(a02,ROW)",installed investment,end,z1l,gdp,ROW,14.31293345,14.48897668,14.49434108,14.4189259,14.40169144,14.56811045,14.49684272
173,JNVY(USA),installed investment in the raw capital sector,end,z1l,gdp,USA,0.41338145,0.42542044,0.42518296,0.42033575,0.4223292,0.43479149,0.42726119
174,JNVY(ROW),installed investment in the raw capital sector,end,z1l,gdp,ROW,0.41338145,0.42542044,0.42518296,0.42033575,0.4223292,0.43479149,0.42726119
175,JNVZ(USA),installed household investment,end,z1l,gdp,USA,3.071619,3.10336,3.08541535,3.02901659,3.10316204,3.16200521,3.12447414
176,JNVZ(ROW),installed household investment,end,z1l,gdp,ROW,3.071619,3.10336,3.08541535,3.02901659,3.10316204,3.16200521,3.12447414
177,"LAB(a01,USA)",sector demand for labor,end,z1l,gdp,USA,0.41327672,0.41155419,0.41339144,0.41190041,0.40612698,0.4041806,0.41311585
178,"LAB(a01,ROW)",sector demand for labor,end,z1l,gdp,ROW,0.41327672,0.41155419,0.41339144,0.41190041,0.40612698,0.4041806,0.41311585
179,"LAB(a02,USA)",sector demand for labor,end,z1l,gdp,USA,47.51271525,47.48785312,47.56052327,47.52406275,47.16332223,47.04644576,47.36360585
180,"LAB(a02,ROW)",sector demand for labor,end,z1l,gdp,ROW,47.51271525,47.48785312,47.56052327,47.52406275,47.16332223,47.04644576,47.36360585
181,LABO(USA),labor demand,end,z1l,gdp,USA,51.59303624,51.56541263,51.62684663,51.54637827,51.22981122,51.13069966,51.45359366
182,LABO(ROW),labor demand,end,z1l,gdp,ROW,51.59303624,51.56541263,51.62684663,51.54637827,51.22981122,51.13069966,51.45359366
183,LABX(USA),labor supply,exo,exo,gdp,USA,51.59303624,51.56541263,51.62684663,51.54637827,51.22981122,51.13069966,51.45359366
184,LABX(ROW),labor supply,exo,exo,gdp,ROW,51.59303624,51.56541263,51.62684663,51.54637827,51.22981122,51.13069966,51.45359366
185,"LAM(a01,USA)",marginal value of a unit of capital,cos,j1l,pct,USA,127.46613329,127.8587617,127.87365681,127.70019343,127.65852984,128.03299407,127.88741446
186,"LAM(a01,ROW)",marginal value of a unit of capital,cos,j1l,pct,ROW,127.46613329,127.8587617,127.87365681,127.70019343,127.65852984,128.03299407,127.88741446
187,"LAM(a02,USA)",marginal value of a unit of capital,cos,j1l,pct,USA,127.46613329,127.8587617,127.87365681,127.70019343,127.65852984,128.03299407,127.88741446
188,"LAM(a02,ROW)",marginal value of a unit of capital,cos,j1l,pct,ROW,127.46613329,127.8587617,127.87365681,127.70019343,127.65852984,128.03299407,127.88741446
189,LAMY(USA),"marginal value of capital, raw capital sector",cos,j1l,pct,USA,114.55102691,114.97479942,114.96644028,114.79581822,114.865988,115.30466037,115.03959382
190,LAMY(ROW),"marginal value of capital, raw capital sector",cos,j1l,pct,ROW,114.55102691,114.97479942,114.96644028,114.79581822,114.865988,115.30466037,115.03959382
191,LAMZ(USA),marginal value of a unit of household capital,cos,j1l,pct,USA,114.55102691,114.97479942,114.96644028,114.79581822,114.865988,115.30466037,115.03959382
192,LAMZ(ROW),marginal value of a unit of household capital,cos,j1l,pct,ROW,114.55102691,114.97479942,114.96644028,114.79581822,114.865988,115.30466037,115.03959382
193,LGDPN(USA),"GDP, nominal",exo,exo,nomusdbillion,USA,19612.1025,20656.5155,21539.9815,21354.10475,23681.17075,26006.8925,27720.7095
194,LGDPN(ROW),"GDP, nominal",exo,exo,nomusdbillion,ROW,19612.1025,20656.5155,21539.9815,21354.10475,23681.17075,26006.8925,27720.7095
195,LGDPR(USA),"GDP, real",exo,exo,realusdbillion,USA,23147.43841231,23834.10685336,24449.94004166,23921.07984174,25369.51449631,26006.8925,26757.85576653
196,LGDPR(ROW),"GDP, real",exo,exo,realusdbillion,ROW,23147.43841231,23834.10685336,24449.94004166,23921.07984174,25369.51449631,26006.8925,26757.85576653
197,MONE(USA),money demand,end,z1l,gdp,USA,60,60,60,60,60,60,60
198,MONE(ROW),money demand,end,z1l,gdp,ROW,60,60,60,60,60,60,60
199,NB02(USA),"interest rate, 2-year, nominal",end,z1l,pct,USA,1.27025,2.2605,2.20116667,0.66862514,0.247,2.29991667,5.0555
200,NB02(ROW),"interest rate, 2-year, nominal",end,z1l,pct,ROW,1.27025,2.2605,2.20116667,0.66862514,0.247,2.29991667,5.0555
201,NB05(USA),"interest rate, 5-year, nominal",end,z1l,pct,USA,1.74125,2.54916667,2.17583333,0.76886582,0.77833333,2.58958333,4.5675
