order,name,description,0,0,units,region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
26,CAPZ(ROW),household capital stock,,,gdp,ROW,107.7173127,108.8112144,108.2714596,107.6519234,107.520424,107.6089154,107.9606599,108.3673246,108.0748291,108.2360214,108.3287359
27,CNPE(USA),household demand for energy,,,gdp,USA,2.22993202,2.246460782,2.235011356,2.224634833,2.220723172,2.223636437,2.231860819,2.238344901,2.231185207,2.235627287,2.237566105
28,CNPE(ROW),household demand for energy,,,gdp,ROW,2.22993202,2.246460782,2.235011356,2.224634833,2.220723172,2.223636437,2.231860819,2.238344901,2.231185207,2.235627287,2.237566105
29,CNPK(USA),household capital services,,,gdp,USA,6.769623714,6.819801701,6.785043554,6.753542523,6.741667508,6.750511595,6.775479159,6.795163525,6.773428137,6.786913396,6.792799255
30,CNPK(ROW),household capital services,,,gdp,ROW,6.769623714,6.819801701,6.785043554,6.753542523,6.741667508,6.750511595,6.775479159,6.795163525,6.773428137,6.786913396,6.792799255
31,CNPL(USA),household demand for labor,,,gdp,USA,2.84439152,2.865474796,2.850870472,2.837634689,2.832645167,2.836361185,2.846851802,2.855122578,2.845990024,2.851656123,2.854129183
32,CNPL(ROW),household demand for labor,,,gdp,ROW,2.84439152,2.865474796,2.850870472,2.837634689,2.832645167,2.836361185,2.846851802,2.855122578,2.845990024,2.851656123,2.854129183
33,CNPO(USA),household demand for material,,,gdp,USA,54.65789839,55.06303513,54.78239808,54.52805896,54.43218016,54.50358726,54.70517521,54.86410665,54.68861527,54.79749517,54.84501756
34,CNPO(ROW),household demand for material,,,gdp,ROW,54.65789839,55.06303513,54.78239808,54.52805896,54.43218016,54.50358726,54.70517521,54.86410665,54.68861527,54.79749517,54.84501756
35,"CON(g01,USA)",household demand for goods,,,gdp,USA,2.22993202,2.246460782,2.235011356,2.224634833,2.220723172,2.223636437,2.231860819,2.238344901,2.231185207,2.235627287,2.237566105
36,"CON(g01,ROW)",household demand for goods,,,gdp,ROW,2.22993202,2.246460782,2.235011356,2.224634833,2.220723172,2.223636437,2.231860819,2.238344901,2.231185207,2.235627287,2.237566105
37,"CON(g02,USA)",household demand for goods,,,gdp,USA,54.65789839,55.06303513,54.78239808,54.52805896,54.43218016,54.50358726,54.70517521,54.86410665,54.68861527,54.79749517,54.84501756
38,"CON(g02,ROW)",household demand for goods,,,gdp,ROW,54.65789839,55.06303513,54.78239808,54.52805896,54.43218016,54.50358726,54.70517521,54.86410665,54.68861527,54.79749517,54.84501756
39,CONP(USA),national accounts consumption,,,gdp,USA,66.50184564,66.99477241,66.65332346,66.34387101,66.22721601,66.31409648,66.55936699,66.75273765,66.53921864,66.67169198,66.7295121
40,CONP(ROW),national accounts consumption,,,gdp,ROW,66.50184564,66.99477241,66.65332346,66.34387101,66.22721601,66.31409648,66.55936699,66.75273765,66.53921864,66.67169198,66.7295121
41,CURN(USA),domestic currency current account using nominal interest payments,,,gdp,USA,0,0,0,0,0,0,0,0,0,0,0
42,CURN(ROW),domestic currency current account using nominal interest payments,,,gdp,ROW,0,0,0,0,0,0,0,0,0,0,0
43,CURR(USA),USD current account using real interest payments,,,gdp,USA,0,0,0,0,0,0,0,0,0,0,0
44,CURR(ROW),USD current account using real interest payments,,,gdp,ROW,0,0,0,0,0,0,0,0,0,0,0
45,DEFI(USA),fiscal deficit (real interest rates),,,gdp,USA,11.08615616,9.702823325,7.924929411,4.479064614,4.542459882,3.893550981,3.937716767,2.365775813,5.184425725,5.227210352,5.04047603
46,DEFI(ROW),fiscal deficit (real interest rates),,,gdp,ROW,11.08615616,9.702823325,7.924929411,4.479064614,4.542459882,3.893550981,3.937716767,2.365775813,5.184425725,5.227210352,5.04047603
47,DEFN(USA),fiscal deficit (nominal interest rates),,,gdp,USA,12.53333333,11.16129032,9.320987654,5.952380952,5.377142857,4.71978022,5.454545455,4.328205128,6.650485437,7.056074766,6.950672646
48,DEFN(ROW),fiscal deficit (nominal interest rates),,,gdp,ROW,12.53333333,11.16129032,9.320987654,5.952380952,5.377142857,4.71978022,5.454545455,4.328205128,6.650485437,7.056074766,6.950672646
49,DEFX(USA),fiscal deficit shocks (real interest rates),,,gdp,USA,11.08615616,9.702823325,7.924929411,4.479064614,4.542459882,3.893550981,3.937716767,2.365775813,5.184425725,5.227210352,5.04047603
50,DEFX(ROW),fiscal deficit shocks (real interest rates),,,gdp,ROW,11.08615616,9.702823325,7.924929411,4.479064614,4.542459882,3.893550981,3.937716767,2.365775813,5.184425725,5.227210352,5.04047603
51,"EN(a01,g01,USA)",sector demand for energy goods,,,gdp,USA,4.22561877,4.156270598,4.168491602,4.222220385,4.218187355,4.261387306,4.29972732,4.283351944,4.250960389,4.281619635,4.283844744
52,"EN(a01,g01,ROW)",sector demand for energy goods,,,gdp,ROW,4.22561877,4.156270598,4.168491602,4.222220385,4.218187355,4.261387306,4.29972732,4.283351944,4.250960389,4.281619635,4.283844744
53,"EN(a02,g01,USA)",sector demand for energy goods,,,gdp,USA,4.202897035,4.198993687,4.19675942,4.194930639,4.192904842,4.189614559,4.186671726,4.18472421,4.186552791,4.184937276,4.184698946
54,"EN(a02,g01,ROW)",sector demand for energy goods,,,gdp,ROW,4.202897035,4.198993687,4.19675942,4.194930639,4.192904842,4.189614559,4.186671726,4.18472421,4.186552791,4.184937276,4.184698946
55,"ENT(a01,USA)",sector demand for energy,,,gdp,USA,4.22561877,4.156270598,4.168491602,4.222220385,4.218187355,4.261387306,4.29972732,4.283351944,4.250960389,4.281619635,4.283844744
56,"ENT(a01,ROW)",sector demand for energy,,,gdp,ROW,4.22561877,4.156270598,4.168491602,4.222220385,4.218187355,4.261387306,4.29972732,4.283351944,4.250960389,4.281619635,4.283844744
57,"ENT(a02,USA)",sector demand for energy,,,gdp,USA,4.202897035,4.198993687,4.19675942,4.194930639,4.192904842,4.189614559,4.186671726,4.18472421,4.186552791,4.184937276,4.184698946
58,"ENT(a02,ROW)",sector demand for energy,,,gdp,ROW,4.202897035,4.198993687,4.19675942,4.194930639,4.192904842,4.189614559,4.186671726,4.18472421,4.186552791,4.184937276,4.184698946
59,EPRC(USA),expected consumer price inflation rate,,,pct,USA,2.503082499,1.887161649,1.337413549,1.452957616,0.209613384,1.009319953,1.750719655,2.068700947,1.441170667,2.077529546,2.077529546
60,EPRC(ROW),expected consumer price inflation rate,,,pct,ROW,2.503082499,1.887161649,1.337413549,1.452957616,0.209613384,1.009319953,1.750719655,2.068700947,1.441170667,2.077529546,2.077529546
61,EXCH(USA),exch rate as US$ per unit of region currency,,,idx,USA,100,100,100,100,100,100,100,100,100,100,100
62,EXCH(ROW),exch rate as US$ per unit of region currency,,,idx,ROW,100,100,100,100,100,100,100,100,100,100,100
63,EXCL(USA),exch rate as US$ per unit of region currency - lagged,,,idx,USA,100,100,100,100,100,100,100,100,100,100,100
64,EXCL(ROW),exch rate as US$ per unit of region currency - lagged,,,idx,ROW,100,100,100,100,100,100,100,100,100,100,100
65,EXCR(USA),country risk premium relative to US,,,pct,USA,0,0,0,0,0,0,0,0,0,0,0
66,EXCR(ROW),country risk premium relative to US,,,pct,ROW,0,0,0,0,0,0,0,0,0,0,0
67,EXCX(USA),exchange rate target percentage change,,,pct,USA,0,0,0,0,0,0,0,0,0,0,0
68,EXCX(ROW),exchange rate target percentage change,,,pct,ROW,0,0,0,0,0,0,0,0,0,0,0
69,"EXQ(g01,USA)","exports, EXP.xx",,,gdp,USA,2.424527011,2.983982481,2.668228049,2.316547454,2.045374056,1.100045893,0.871478508,1.04504201,1.170873141,0.980069997,0.940515603
70,"EXQ(g01,ROW)","exports, EXP.xx",,,gdp,ROW,2.424527011,2.983982481,2.668228049,2.316547454,2.045374056,1.100045893,0.871478508,1.04504201,1.170873141,0.980069997,0.940515603
71,"EXQ(g02,USA)","exports, EXP.xx",,,gdp,USA,13.28125801,14.20711853,14.30830903,13.98471079,14.20781234,14.03227775,13.58527912,13.77682755,13.92535726,13.4308625,12.88880976
72,"EXQ(g02,ROW)","exports, EXP.xx",,,gdp,ROW,13.28125801,14.20711853,14.30830903,13.98471079,14.20781234,14.03227775,13.58527912,13.77682755,13.92535726,13.4308625,12.88880976
73,EXQT(USA),value of exports at source,,,gdp,USA,15.70578502,17.19110101,16.97653708,16.30125824,16.25318639,15.13232365,14.45675763,14.82186956,15.0962304,14.4109325,13.82932536
74,EXQT(ROW),value of exports at source,,,gdp,ROW,15.70578502,17.19110101,16.97653708,16.30125824,16.25318639,15.13232365,14.45675763,14.82186956,15.0962304,14.4109325,13.82932536
75,EYGR(USA),expected output growth,,,pct,USA,-0.182657288,-0.033409244,0.032669345,-0.05104105,-0.014614394,-0.013482404,-0.066282041,-0.003392035,0.005803028,-0.00230189,-0.00230189
76,EYGR(ROW),expected output growth,,,pct,ROW,-0.182657288,-0.033409244,0.032669345,-0.05104105,-0.014614394,-0.013482404,-0.066282041,-0.003392035,0.005803028,-0.00230189,-0.00230189
77,"GCE(g01,USA)",government purchases of goods and services,,,gdp,USA,3.11E-09,2.99E-09,2.86E-09,2.75E-09,2.67E-09,2.63E-09,2.61E-09,2.56E-09,2.58E-09,2.58E-09,2.59E-09
78,"GCE(g01,ROW)",government purchases of goods and services,,,gdp,ROW,3.11E-09,2.99E-09,2.86E-09,2.75E-09,2.67E-09,2.63E-09,2.61E-09,2.56E-09,2.58E-09,2.58E-09,2.59E-09
79,"GCE(g02,USA)",government purchases of goods and services,,,gdp,USA,21.15685211,20.35386816,19.48500006,18.75625238,18.16789289,17.90162492,17.75093726,17.45043656,17.56013153,17.53486919,17.6062631
80,"GCE(g02,ROW)",government purchases of goods and services,,,gdp,ROW,21.15685211,20.35386816,19.48500006,18.75625238,18.16789289,17.90162492,17.75093726,17.45043656,17.56013153,17.53486919,17.6062631
81,GCET(USA),national accounts government spending excluding labor,,,gdp,USA,21.15685211,20.35386816,19.48500007,18.75625238,18.1678929,17.90162493,17.75093726,17.45043656,17.56013153,17.5348692,17.6062631
82,GCET(ROW),national accounts government spending excluding labor,,,gdp,ROW,21.15685211,20.35386816,19.48500007,18.75625238,18.1678929,17.90162493,17.75093726,17.45043656,17.56013153,17.5348692,17.6062631
83,GDPN(USA),"GDP, nominal",,,gdp,USA,87.04107435,88.85928808,90.56346945,92.1527898,93.85795866,94.83533787,95.8171485,97.62197839,100,101.7818187,104.0066176
84,GDPN(ROW),"GDP, nominal",,,gdp,ROW,87.04107435,88.85928808,90.56346945,92.1527898,93.85795866,94.83533787,95.8171485,97.62197839,100,101.7818187,104.0066176
85,GDPR(USA),"GDP, real",,,gdp,USA,100,100,100,100,100,100,100,100,100,100,100
86,GDPR(ROW),"GDP, real",,,gdp,ROW,100,100,100,100,100,100,100,100,100,100,100
87,GNEN(USA),"GNE, nominal",,,gdp,USA,95.14620662,97.77677597,99.7332354,100.6809178,102.6316628,103.1520567,103.8966607,106.0163791,108.6647671,110.1858684,112.4438611
88,GNEN(ROW),"GNE, nominal",,,gdp,ROW,95.14620662,97.77677597,99.7332354,100.6809178,102.6316628,103.1520567,103.8966607,106.0163791,108.6647671,110.1858684,112.4438611
89,GNER(USA),"GNE, real",,,gdp,USA,107.4998555,108.149114,108.3543145,107.9194845,108.2188771,108.2355288,108.0762074,108.3275394,108.6647671,108.498158,108.5212168
90,GNER(ROW),"GNE, real",,,gdp,ROW,107.4998555,108.149114,108.3543145,107.9194845,108.2188771,108.2355288,108.0762074,108.3275394,108.6647671,108.498158,108.5212168
91,GNPR(USA),gross national product,,,gdp,USA,99.41862408,99.41862408,99.41862408,99.41862408,99.41862408,99.41862408,99.41862408,99.41862408,99.41862408,99.41862408,99.41862408
92,GNPR(ROW),gross national product,,,gdp,ROW,99.41862408,99.41862408,99.41862408,99.41862408,99.41862408,99.41862408,99.41862408,99.41862408,99.41862408,99.41862408,99.41862408
93,GOVL(USA),labor used by government,,,gdp,USA,1.15E-08,1.11E-08,1.06E-08,1.02E-08,9.88E-09,9.74E-09,9.66E-09,9.49E-09,9.55E-09,9.54E-09,9.58E-09
94,GOVL(ROW),labor used by government,,,gdp,ROW,1.15E-08,1.11E-08,1.06E-08,1.02E-08,9.88E-09,9.74E-09,9.66E-09,9.49E-09,9.55E-09,9.54E-09,9.58E-09
95,GOVS(USA),government spending excluding labor,,,gdp,USA,21.15685211,20.35386816,19.48500007,18.75625238,18.1678929,17.90162493,17.75093726,17.45043656,17.56013153,17.5348692,17.6062631
96,GOVS(ROW),government spending excluding labor,,,gdp,ROW,21.15685211,20.35386816,19.48500007,18.75625238,18.1678929,17.90162493,17.75093726,17.45043656,17.56013153,17.5348692,17.6062631
97,GOVT(USA),national accounts government spending including labor,,,gdp,USA,21.15685212,20.35386817,19.48500008,18.75625239,18.16789291,17.90162494,17.75093727,17.45043657,17.56013154,17.53486921,17.60626311
98,GOVT(ROW),national accounts government spending including labor,,,gdp,ROW,21.15685212,20.35386817,19.48500008,18.75625239,18.16789291,17.90162494,17.75093727,17.45043657,17.56013154,17.53486921,17.60626311
99,"IIN(g01,USA)",raw capital sector demand for goods,,,gdp,USA,3.15E-16,3.29E-16,3.51E-16,3.61E-16,3.77E-16,3.80E-16,3.75E-16,3.81E-16,3.88E-16,3.83E-16,3.82E-16
100,"IIN(g01,ROW)",raw capital sector demand for goods,,,gdp,ROW,3.15E-16,3.29E-16,3.51E-16,3.61E-16,3.77E-16,3.80E-16,3.75E-16,3.81E-16,3.88E-16,3.83E-16,3.82E-16
101,"IIN(g02,USA)",raw capital sector demand for goods,,,gdp,USA,12.89328045,13.46529708,14.37514359,14.77665835,15.41287188,15.53303594,15.36110168,15.57091108,15.85777132,15.68050199,15.61059656
102,"IIN(g02,ROW)",raw capital sector demand for goods,,,gdp,ROW,12.89328045,13.46529708,14.37514359,14.77665835,15.41287188,15.53303594,15.36110168,15.57091108,15.85777132,15.68050199,15.61059656
103,IITE(USA),raw capital sector demand for energy,,,gdp,USA,3.15E-16,3.29E-16,3.51E-16,3.61E-16,3.77E-16,3.80E-16,3.75E-16,3.81E-16,3.88E-16,3.83E-16,3.82E-16
104,IITE(ROW),raw capital sector demand for energy,,,gdp,ROW,3.15E-16,3.29E-16,3.51E-16,3.61E-16,3.77E-16,3.80E-16,3.75E-16,3.81E-16,3.88E-16,3.83E-16,3.82E-16
105,IITL(USA),raw capital sector demand for labor,,,gdp,USA,0.644664023,0.673264854,0.71875718,0.738832917,0.770643594,0.776651797,0.768055084,0.778545554,0.792888566,0.784025099,0.780529828
106,IITL(ROW),raw capital sector demand for labor,,,gdp,ROW,0.644664023,0.673264854,0.71875718,0.738832917,0.770643594,0.776651797,0.768055084,0.778545554,0.792888566,0.784025099,0.780529828
107,IITO(USA),raw capital sector demand for material,,,gdp,USA,12.89328045,13.46529708,14.37514359,14.77665835,15.41287188,15.53303594,15.36110168,15.57091108,15.85777132,15.68050199,15.61059656
108,IITO(ROW),raw capital sector demand for material,,,gdp,ROW,12.89328045,13.46529708,14.37514359,14.77665835,15.41287188,15.53303594,15.36110168,15.57091108,15.85777132,15.68050199,15.61059656
109,"IMP(g01,USA,USA)","individual imports, IMP.xy",,,gdp,USA,0,0,0,0,0,0,0,0,0,0,0
110,"IMP(g01,USA,ROW)","individual imports, IMP.xy",,,gdp,USA,2.424527011,2.983982481,2.668228049,2.316547454,2.045374056,1.100045893,0.871478508,1.04504201,1.170873141,0.980069997,0.940515603
111,"IMP(g01,ROW,USA)","individual imports, IMP.xy",,,gdp,ROW,2.424527011,2.983982481,2.668228049,2.316547454,2.045374056,1.100045893,0.871478508,1.04504201,1.170873141,0.980069997,0.940515603
112,"IMP(g01,ROW,ROW)","individual imports, IMP.xy",,,gdp,ROW,0,0,0,0,0,0,0,0,0,0,0
113,"IMP(g02,USA,USA)","individual imports, IMP.xy",,,gdp,USA,0,0,0,0,0,0,0,0,0,0,0
114,"IMP(g02,USA,ROW)","individual imports, IMP.xy",,,gdp,USA,13.28125801,14.20711853,14.30830903,13.98471079,14.20781234,14.03227775,13.58527912,13.77682755,13.92535726,13.4308625,12.88880976
115,"IMP(g02,ROW,USA)","individual imports, IMP.xy",,,gdp,ROW,13.28125801,14.20711853,14.30830903,13.98471079,14.20781234,14.03227775,13.58527912,13.77682755,13.92535726,13.4308625,12.88880976
116,"IMP(g02,ROW,ROW)","individual imports, IMP.xy",,,gdp,ROW,0,0,0,0,0,0,0,0,0,0,0
117,"IMPX(g01,USA,USA)",individual imports shift ,,,gdp,USA,0,0,0,0,0,0,0,0,0,0,0
118,"IMPX(g01,USA,ROW)",individual imports shift ,,,gdp,USA,0,0,0,0,0,0,0,0,0,0,0
119,"IMPX(g01,ROW,USA)",individual imports shift ,,,gdp,ROW,0,0,0,0,0,0,0,0,0,0,0
120,"IMPX(g01,ROW,ROW)",individual imports shift ,,,gdp,ROW,0,0,0,0,0,0,0,0,0,0,0
121,"IMPX(g02,USA,USA)",individual imports shift ,,,gdp,USA,0,0,0,0,0,0,0,0,0,0,0
122,"IMPX(g02,USA,ROW)",individual imports shift ,,,gdp,USA,0,0,0,0,0,0,0,0,0,0,0
123,"IMPX(g02,ROW,USA)",individual imports shift ,,,gdp,ROW,0,0,0,0,0,0,0,0,0,0,0
124,"IMPX(g02,ROW,ROW)",individual imports shift ,,,gdp,ROW,0,0,0,0,0,0,0,0,0,0,0
125,"IMQ(g01,USA)","DF imports by good, IMQ.xx",,,gdp,USA,2.424527011,2.983982481,2.668228049,2.316547454,2.045374056,1.100045893,0.871478508,1.04504201,1.170873141,0.980069997,0.940515603
126,"IMQ(g01,ROW)","DF imports by good, IMQ.xx",,,gdp,ROW,2.424527011,2.983982481,2.668228049,2.316547454,2.045374056,1.100045893,0.871478508,1.04504201,1.170873141,0.980069997,0.940515603
127,"IMQ(g02,USA)","DF imports by good, IMQ.xx",,,gdp,USA,13.28125801,14.20711853,14.30830903,13.98471079,14.20781234,14.03227775,13.58527912,13.77682755,13.92535726,13.4308625,12.88880976
128,"IMQ(g02,ROW)","DF imports by good, IMQ.xx",,,gdp,ROW,13.28125801,14.20711853,14.30830903,13.98471079,14.20781234,14.03227775,13.58527912,13.77682755,13.92535726,13.4308625,12.88880976
129,IMQT(USA),value of imports at destination,,,gdp,USA,15.70578502,17.19110101,16.97653708,16.30125824,16.25318639,15.13232365,14.45675763,14.82186956,15.0962304,14.4109325,13.82932536
130,IMQT(ROW),value of imports at destination,,,gdp,ROW,15.70578502,17.19110101,16.97653708,16.30125824,16.25318639,15.13232365,14.45675763,14.82186956,15.0962304,14.4109325,13.82932536
131,INAS(USA),nominal USD net interest payments on foreign assets,,,gdp,USA,0,0,0,0,0,0,0,0,0,0,0
132,INAS(ROW),nominal USD net interest payments on foreign assets,,,gdp,ROW,0,0,0,0,0,0,0,0,0,0,0
133,INCM(USA),after tax household income,,,gdp,USA,60,60,60,60,60,60,60,60,60,60,60
134,INCM(ROW),after tax household income,,,gdp,ROW,60,60,60,60,60,60,60,60,60,60,60
135,INFCL(USA),household materials inflation rate,,,pct,USA,0,2.067395956,1.899683901,1.739703353,1.833460335,1.035954047,1.029956994,1.86609845,2.406752929,1.766130395,2.162303795
136,INFCL(ROW),household materials inflation rate,,,pct,ROW,0,2.067395956,1.899683901,1.739703353,1.833460335,1.035954047,1.029956994,1.86609845,2.406752929,1.766130395,2.162303795
137,INFL(USA),consumer price inflation,,,pct,USA,0,2.503082499,1.887161649,1.337413549,1.452957616,0.209613384,1.009319953,1.750719655,2.068700947,1.441170667,2.077529546
138,INFL(ROW),consumer price inflation,,,pct,ROW,0,2.503082499,1.887161649,1.337413549,1.452957616,0.209613384,1.009319953,1.750719655,2.068700947,1.441170667,2.077529546
139,INFP(USA),output price inflation,,,pct,USA,0,2.067395956,1.899683901,1.739703353,1.833460335,1.035954047,1.029956994,1.86609845,2.406752929,1.766130395,2.162303795
140,INFP(ROW),output price inflation,,,pct,ROW,0,2.067395956,1.899683901,1.739703353,1.833460335,1.035954047,1.029956994,1.86609845,2.406752929,1.766130395,2.162303795
141,INFX(USA),inflation target,,,pct,USA,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
142,INFX(ROW),inflation target,,,pct,ROW,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
143,"INS(USA,g01)",shocks to aggregate investment demand,,,gdp,USA,0,0,0,0,0,0,0,0,0,0,0
144,"INS(USA,g02)",shocks to aggregate investment demand,,,gdp,USA,0,0,0,0,0,0,0,0,0,0,0
145,"INS(ROW,g01)",shocks to aggregate investment demand,,,gdp,ROW,0,0,0,0,0,0,0,0,0,0,0
146,"INS(ROW,g02)",shocks to aggregate investment demand,,,gdp,ROW,0,0,0,0,0,0,0,0,0,0,0
147,INTF(USA),"risk free interest rate, short-run, real",,,pct,USA,-1.372183904,-1.320536682,-1.413460332,-0.700120714,-0.75079033,-1.400265118,-1.5509196,-0.489463746,0.204362884,0.142696217,1.7725
148,INTF(ROW),"risk free interest rate, short-run, real",,,pct,ROW,-1.372183904,-1.320536682,-1.413460332,-0.700120714,-0.75079033,-1.400265118,-1.5509196,-0.489463746,0.204362884,0.142696217,1.7725
149,INTL(USA),"interest rate, short-run, nominal (lagged)",,,pct,USA,0.5275,0.5275,0.419166667,0.42,0.335833333,0.279166667,0.465833333,0.855833333,1.276666667,2.366666667,2.305
150,INTL(ROW),"interest rate, short-run, nominal (lagged)",,,pct,ROW,0.5275,0.5275,0.419166667,0.42,0.335833333,0.279166667,0.465833333,0.855833333,1.276666667,2.366666667,2.305
151,INTN(USA),"interest rate, short (policy), nominal",,,pct,USA,0.5275,0.419166667,0.42,0.335833333,0.279166667,0.465833333,0.855833333,1.276666667,2.366666667,2.305,1.7725
152,INTN(ROW),"interest rate, short (policy), nominal",,,pct,ROW,0.5275,0.419166667,0.42,0.335833333,0.279166667,0.465833333,0.855833333,1.276666667,2.366666667,2.305,1.7725
153,INTR(USA),"risk adjusted interest rate, short-run, real",,,pct,USA,-1.372183904,-1.320536682,-1.413460332,-0.700120714,-0.75079033,-1.400265118,-1.5509196,-0.489463746,0.204362884,0.142696217,1.7725
154,INTR(ROW),"risk adjusted interest rate, short-run, real",,,pct,ROW,-1.372183904,-1.320536682,-1.413460332,-0.700120714,-0.75079033,-1.400265118,-1.5509196,-0.489463746,0.204362884,0.142696217,1.7725
155,"INV(a01,USA)",raw investment,,,gdp,USA,1.63673987,1.685879785,1.805333382,1.877639547,1.957663353,1.992158367,1.986981088,2.008173177,2.030720614,2.021494184,2.013506595
156,"INV(a01,ROW)",raw investment,,,gdp,ROW,1.63673987,1.685879785,1.805333382,1.877639547,1.957663353,1.992158367,1.986981088,2.008173177,2.030720614,2.021494184,2.013506595
157,"INV(a02,USA)",raw investment,,,gdp,USA,12.54586863,13.125947,14.00732457,14.37668464,14.99649572,15.09418116,14.91023076,15.11982901,15.41282784,15.227058,15.15814962
158,"INV(a02,ROW)",raw investment,,,gdp,ROW,12.54586863,13.125947,14.00732457,14.37668464,14.99649572,15.09418116,14.91023076,15.11982901,15.41282784,15.227058,15.15814962
159,INVP(USA),total investment by standard sectors,,,gdp,USA,14.1826085,14.81182679,15.81265795,16.25432419,16.95415907,17.08633953,16.89721185,17.12800219,17.44354845,17.24855218,17.17165622
160,INVP(ROW),total investment by standard sectors,,,gdp,ROW,14.1826085,14.81182679,15.81265795,16.25432419,16.95415907,17.08633953,16.89721185,17.12800219,17.44354845,17.24855218,17.17165622
161,INVT(USA),total investment including by households,,,gdp,USA,19.84115773,20.80047347,22.21599096,22.81936107,23.82376815,24.01980742,23.76590315,24.12436519,24.56541691,24.29159687,24.18544165
162,INVT(ROW),total investment including by households,,,gdp,ROW,19.84115773,20.80047347,22.21599096,22.81936107,23.82376815,24.01980742,23.76590315,24.12436519,24.56541691,24.29159687,24.18544165
163,INVY(USA),raw investment,,,gdp,USA,0.492004524,0.538090154,0.613348053,0.647386853,0.704712592,0.715394368,0.699345042,0.719196796,0.746313998,0.729357901,0.722861595
164,INVY(ROW),raw investment,,,gdp,ROW,0.492004524,0.538090154,0.613348053,0.647386853,0.704712592,0.715394368,0.699345042,0.719196796,0.746313998,0.729357901,0.722861595
